"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Tmore接口-iots","企业路由-查询","0","0","6","0","0"
"","Tmore接口-iots","企业路由-测试连接","0","0","15","0","0"
"","Tmore接口-iots","转换规则-关联程序","0","1","3","0","0"
"","Tmore接口-iots","企业路由-编辑","0","0","11","0","0"
"","Tmore接口-iots","企业路由-查询-获取路由id","0","0","1","0","0"
"","Tmore接口-iots","企业路由-查看","0","0","3","0","0"
"","Tmore接口-iots","转换规则-删除","0","0","2","0","0"
"","Tmore接口-iots","企业路由-编辑-iot库已删除的","0","0","1","0","0"
"","Tmore接口-iots","企业路由-删除-正常","0","0","1","0","0"
"","Tmore接口-iots","企业路由-编辑-不存在的路由","0","0","1","0","0"
"","Tmore接口-iots","转换规则-修改","0","0","3","0","0"
"","Tmore接口-iots","企业路由-新建","0","0","1","0","0"
"","Tmore接口-iots","企业路由-删除","0","0","3","0","0"
"","Tmore接口-iots","测试前的数据准备","0","0","1","0","0"
"","Tmore接口-iots","转换规则-新建","0","0","1","0","0"
"","获取token","登录接口","0","0","1","0","0"
